               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              7.8404,               7.343,              5.3225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.070405,           0.0032883,           0.0032883
                   1,              7.7896,              7.6331,               5.294,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.04034,           0.0065561,           0.0065561
                   2,              7.9494,              7.0361,              5.3712,          0.00016952,          0.00020973,          2.2443e-05,          8.9774e-06,                   0,                   0,                   0,            0.010208,           0.0097578,           0.0097578
                   3,              7.9049,              6.9209,              5.3558,          0.00033816,           0.0011019,          8.8127e-05,          1.2226e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   4,              7.7095,              5.9897,              5.3129,          0.00025583,           0.0011374,          9.6707e-05,          1.7321e-05,                   0,                   0,                   0,            0.009703,            0.009703,            0.009703
                   5,              7.4891,              5.9891,              5.1068,          1.8637e-05,          0.00020973,          9.3978e-06,          9.3978e-07,                   0,                   0,                   0,            0.009604,            0.009604,            0.009604
                   6,              6.9192,              5.1697,              4.8305,            0.011024,            0.022661,           0.0023539,          0.00047159,                   0,                   0,                   0,            0.009505,            0.009505,            0.009505
                   7,              6.0962,              4.5528,              4.2964,            0.028551,            0.046744,           0.0055488,           0.0016045,                   0,                   0,                   0,            0.009406,            0.009406,            0.009406
                   8,              5.0055,               3.905,              3.8407,            0.053581,            0.078708,            0.064689,            0.018129,                   0,                   0,                   0,            0.009307,            0.009307,            0.009307
                   9,              4.3271,              3.6918,              3.3409,             0.06133,             0.50195,            0.083379,            0.034134,                   0,                   0,                   0,            0.009208,            0.009208,            0.009208
                  10,              3.9713,                3.28,              2.9234,             0.18544,             0.33059,             0.15551,            0.054076,                   0,                   0,                   0,            0.009109,            0.009109,            0.009109
                  11,              3.7462,              3.2938,               2.672,               0.064,             0.62238,            0.093774,            0.035671,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                  12,              3.4946,              3.1911,              2.5614,            0.066239,             0.61721,            0.086181,            0.027682,                   0,                   0,                   0,            0.008911,            0.008911,            0.008911
                  13,              3.3602,              2.9821,              2.3928,             0.18549,             0.53073,             0.22018,             0.08899,                   0,                   0,                   0,            0.008812,            0.008812,            0.008812
                  14,               3.288,              2.7637,              2.3451,            0.084409,             0.60701,             0.12396,            0.044668,                   0,                   0,                   0,            0.008713,            0.008713,            0.008713
                  15,              3.1623,              2.7272,              2.2125,             0.10432,             0.37389,             0.11749,            0.041532,                   0,                   0,                   0,            0.008614,            0.008614,            0.008614
                  16,              3.1256,              2.7189,              2.2093,             0.11122,              0.5002,             0.14268,            0.050966,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  17,              3.1561,               2.706,              2.1453,             0.20557,             0.40807,             0.16438,            0.055984,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  18,              3.1272,              2.6165,              2.1164,             0.21352,             0.31327,             0.19268,            0.074356,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  19,              3.0726,              2.5627,               1.996,             0.23597,               0.422,             0.21622,            0.078553,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  20,              3.1232,              2.5962,              1.9487,             0.28119,             0.47976,             0.23722,            0.084668,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  21,              2.9821,              2.4725,              1.9284,             0.19075,               0.386,             0.16481,            0.060062,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  22,              2.9474,               2.507,              1.8919,              0.2978,             0.40132,             0.28094,             0.10718,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  23,              2.9544,              2.5076,              1.8658,             0.21076,             0.44533,             0.19207,            0.074016,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  24,              2.9301,              2.4441,              1.8222,             0.22778,             0.42223,             0.19694,            0.075078,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  25,              2.8833,              2.4646,              1.8633,             0.18995,             0.49637,             0.23893,            0.092593,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  26,              2.8086,              2.3625,              1.8582,              0.1498,             0.42137,             0.12042,            0.041493,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  27,              2.9114,              2.4043,              1.7702,               0.263,             0.39303,             0.23057,            0.086413,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  28,              2.7933,              2.3191,               1.734,             0.32185,             0.52556,             0.35133,             0.13642,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  29,              2.8473,              2.3687,              1.8044,             0.24224,              0.3594,             0.18216,            0.063363,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  30,              2.8955,              2.3863,              1.7416,             0.33794,             0.46912,             0.33685,             0.13473,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  31,              2.7651,              2.2907,              1.7486,             0.37681,             0.46891,             0.38002,             0.15956,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  32,              2.7868,              2.2843,               1.717,             0.29873,             0.43588,             0.27035,             0.10462,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  33,              2.7804,              2.2988,              1.7097,             0.42261,             0.54122,             0.43167,             0.17509,                   0,                   0,                   0,            0.006832,            0.006832,            0.006832
                  34,              2.7121,              2.2738,              1.6951,             0.38321,             0.47938,             0.37958,             0.14531,                   0,                   0,                   0,            0.006733,            0.006733,            0.006733
                  35,              2.7439,              2.2244,              1.6958,              0.3345,              0.4758,             0.34592,             0.13639,                   0,                   0,                   0,            0.006634,            0.006634,            0.006634
                  36,              2.7382,              2.2117,              1.7018,             0.40227,             0.51275,             0.42827,             0.18305,                   0,                   0,                   0,            0.006535,            0.006535,            0.006535
                  37,              2.7696,              2.2057,              1.6715,             0.38753,             0.49471,             0.40534,             0.16662,                   0,                   0,                   0,            0.006436,            0.006436,            0.006436
                  38,              2.6638,              2.1968,              1.6615,             0.42881,              0.5233,             0.45622,             0.19586,                   0,                   0,                   0,            0.006337,            0.006337,            0.006337
                  39,              2.7177,              2.1883,              1.6626,             0.46023,             0.53768,             0.47599,             0.19826,                   0,                   0,                   0,            0.006238,            0.006238,            0.006238
                  40,              2.7353,              2.1523,              1.6128,             0.35044,             0.46416,             0.31258,              0.1115,                   0,                   0,                   0,            0.006139,            0.006139,            0.006139
                  41,              2.6924,              2.1342,              1.6118,             0.38911,             0.47526,             0.38912,              0.1574,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  42,              2.6376,              2.1617,               1.663,             0.42994,             0.49799,             0.42419,             0.17277,                   0,                   0,                   0,            0.005941,            0.005941,            0.005941
                  43,              2.6767,              2.1504,              1.6551,             0.43316,             0.51169,              0.4455,             0.17574,                   0,                   0,                   0,            0.005842,            0.005842,            0.005842
                  44,              2.6491,              2.0847,              1.6059,             0.50737,             0.55287,              0.5215,              0.2291,                   0,                   0,                   0,            0.005743,            0.005743,            0.005743
                  45,              2.6294,              2.0667,               1.621,             0.45027,             0.51209,             0.43513,             0.17306,                   0,                   0,                   0,            0.005644,            0.005644,            0.005644
                  46,              2.6986,              2.1413,              1.6306,             0.48889,             0.56429,             0.51301,             0.22082,                   0,                   0,                   0,            0.005545,            0.005545,            0.005545
                  47,              2.6517,              2.1285,              1.6384,             0.41806,             0.53413,              0.4273,             0.15805,                   0,                   0,                   0,            0.005446,            0.005446,            0.005446
